Mu,Sigma,Sharpe,Beta,AAPL,BAC,CCL,CSGP,F,GIS,HAS,INTC,PFE,SNAP,T,XOM
13.9,43.33,0.32,0.86,4.01,3.36,2.42,32.08,5.44,13.6,30.73,1.65,2.21,1.61,0.91,1.98
12.88,43.41,0.3,0.88,15.88,4.47,3.75,26.91,1.86,1.51,9.04,1.16,6.07,1.39,21.99,5.95
12.66,41.24,0.31,0.85,10.48,3.33,1.08,9.65,9.97,0.17,31.47,3.29,18.6,1.33,2.16,8.45
13.32,42.06,0.32,0.86,3.83,8.18,5.27,13.04,0.38,8.01,45.06,11.04,0.03,0.48,4.17,0.5
12.51,39.1,0.32,0.87,5.07,14.33,1.65,30.01,0.63,20.09,1.8,9.56,4.71,0.03,9.55,2.58
12.77,40.38,0.32,0.82,19.43,2.52,0.48,1.64,18.45,11.71,33.76,1.16,1.49,1.05,5.51,2.8
13.02,43.55,0.3,0.92,16.28,4.13,3.48,30.13,8.01,12.02,4.74,5.41,12.22,1.54,0.82,1.23
12.68,39.22,0.32,0.74,2.75,2.05,4.71,27.63,0.42,38.63,2.83,1.86,6.72,0.95,9.36,2.08
12.84,39.65,0.32,0.86,24.52,2.38,0.02,10.87,1.5,1.84,12.29,10.85,14.22,1.84,17.11,2.56
13.57,40.37,0.34,0.82,11.68,0.17,2.75,21.83,6.46,16.83,21.03,0.85,12.94,0.64,2.93,1.89
12.97,43.66,0.3,0.86,16.34,0.55,1.17,22.21,4.52,5.4,14.63,5.77,0.08,2.74,16.3,10.29
12.94,40.09,0.32,0.82,19.17,1.71,3.24,4.75,3.72,4.99,21.81,9.15,7.94,0.31,5.32,17.9
13.79,46.51,0.3,0.93,1.31,4.63,2.1,40.45,5.75,2.74,31.06,1.13,1.71,2.82,0.75,5.55
13.13,38.09,0.34,0.84,18.37,12.24,1.65,4.44,0.78,7.09,32.41,7.6,3.77,0.06,3.77,7.82
12.71,37.46,0.34,0.79,12.28,1.11,0.75,16.25,6.07,30.52,0.11,14.76,4.91,0.4,0.44,12.41
12.61,37.91,0.33,0.78,10.31,2.23,0.56,2.16,2.73,16.04,31.72,10.99,16.82,1.93,1.62,2.89
12.91,39.1,0.33,0.75,0.98,4.6,1.96,19.19,1.88,20.9,21.15,0.8,6.44,0.65,0.16,21.3
12.59,41.74,0.3,0.85,0.96,10.0,3.94,34.65,0.67,15.94,6.42,0.62,10.25,0.69,9.14,6.72
13.27,44.86,0.3,0.93,34.35,1.33,3.24,21.22,2.71,3.07,6.36,5.16,4.16,3.42,11.11,3.89
12.62,42.54,0.3,0.81,19.3,0.01,3.5,16.64,3.83,23.7,12.77,0.56,10.5,3.67,4.66,0.85
12.57,40.67,0.31,0.85,12.65,7.02,3.43,12.22,4.88,13.33,18.58,10.07,4.98,0.44,7.66,4.73
13.96,43.52,0.32,0.92,10.15,4.93,0.28,26.48,3.0,1.1,34.67,11.74,1.34,2.2,2.55,1.56
13.55,40.77,0.33,0.87,9.07,7.66,0.02,35.44,2.91,11.72,9.32,4.66,0.63,0.63,12.43,5.51
13.1,43.11,0.3,0.85,2.47,3.98,5.23,35.82,0.18,8.81,5.02,3.08,4.25,0.08,7.66,23.42
12.93,43.58,0.3,0.94,39.8,6.22,9.56,13.66,5.22,5.41,0.17,1.87,8.64,0.06,9.12,0.27
13.16,40.88,0.32,0.91,35.13,5.03,3.38,5.96,3.53,1.89,12.81,12.4,3.78,0.6,11.64,3.85
13.43,43.17,0.31,0.9,11.21,7.08,1.53,32.7,5.95,3.92,15.97,0.75,2.78,1.05,10.57,6.49
12.74,42.24,0.3,0.85,4.69,0.64,1.43,26.86,14.18,15.62,11.0,6.46,2.51,0.61,11.56,4.44
12.58,41.35,0.3,0.88,9.28,9.84,1.6,30.26,8.38,12.38,3.7,2.93,3.06,0.23,16.27,2.07
13.11,42.76,0.31,0.85,15.34,3.65,1.86,15.33,2.18,1.26,23.64,7.68,0.72,1.84,4.84,21.66
12.67,38.31,0.33,0.8,7.75,0.58,0.27,7.57,3.32,4.67,18.44,17.39,11.91,0.13,2.75,25.24
13.69,36.43,0.38,0.81,31.5,1.19,1.21,6.43,3.65,14.12,14.0,3.38,15.0,0.11,2.83,6.59
12.77,41.41,0.31,0.89,11.17,12.7,0.95,29.94,0.02,19.34,6.78,8.41,0.58,2.13,4.75,3.22
13.26,43.27,0.31,0.88,10.0,2.05,0.32,15.98,3.14,3.93,36.61,13.59,4.78,3.28,2.31,4.0
13.18,42.55,0.31,0.91,25.35,8.49,4.78,26.93,0.3,9.37,1.98,1.53,6.25,1.12,9.37,4.53
12.75,36.98,0.34,0.75,17.61,2.33,4.83,2.65,0.31,30.85,16.26,11.17,5.59,0.16,7.22,1.01
12.68,42.6,0.3,0.86,7.3,9.77,4.56,29.14,2.39,11.99,7.17,2.06,1.52,0.32,8.15,15.62
12.85,41.2,0.31,0.91,12.65,2.16,0.45,23.75,2.52,0.96,1.2,24.24,1.97,0.4,18.35,11.36
12.63,41.51,0.3,0.87,26.34,5.25,1.91,13.74,12.18,6.7,6.65,1.04,1.47,0.6,14.38,9.74
13.27,40.89,0.32,0.85,4.97,1.71,2.15,26.76,0.24,3.26,19.47,6.5,16.88,0.71,16.4,0.97
13.37,41.16,0.32,0.91,20.34,2.9,1.47,31.24,1.55,5.7,0.75,2.26,26.31,1.83,0.2,5.47
12.56,40.97,0.31,0.84,0.4,4.48,5.28,12.96,0.09,13.01,29.45,14.77,13.51,0.65,4.14,1.26
12.82,39.52,0.32,0.78,16.99,1.92,6.23,10.59,0.0,30.51,11.15,12.08,0.09,0.5,9.57,0.38
12.9,40.7,0.32,0.8,0.92,4.46,4.47,34.43,0.11,23.95,4.63,0.94,6.75,0.39,14.8,4.14
12.92,40.54,0.32,0.82,19.66,0.97,0.03,3.61,14.06,11.16,31.05,6.04,0.91,1.57,7.16,3.78
13.44,35.62,0.38,0.74,22.37,1.02,0.32,12.1,7.37,34.5,9.6,0.58,5.06,0.37,2.84,3.87
13.18,39.62,0.33,0.91,17.22,10.35,1.53,25.91,2.85,5.65,7.66,2.83,18.92,0.11,2.85,4.14
14.84,43.69,0.34,0.95,12.87,1.61,3.06,52.06,0.39,9.24,1.9,7.89,1.82,0.51,1.24,7.43
13.38,44.57,0.3,0.96,20.21,3.74,0.97,30.03,16.59,3.7,11.31,4.0,1.27,1.29,5.47,1.43
13.59,42.79,0.32,0.89,38.05,1.2,6.42,6.77,5.77,1.92,18.82,2.22,4.86,0.68,6.12,7.16
13.96,39.88,0.35,0.94,61.31,3.96,5.4,2.64,3.88,2.88,2.92,2.21,9.86,0.6,3.39,0.95
13.54,43.92,0.31,0.89,23.22,4.95,7.95,13.19,2.93,1.29,29.84,1.03,7.1,0.43,2.67,5.39
12.91,39.64,0.33,0.87,17.3,6.43,0.47,17.51,1.54,5.71,14.02,7.76,18.36,1.41,7.17,2.33
13.5,44.41,0.3,0.93,27.57,5.34,5.41,15.24,6.88,3.74,24.96,3.76,3.32,1.42,0.7,1.66
14.02,39.01,0.36,0.84,34.07,3.16,1.52,1.46,6.86,2.28,33.25,0.63,4.41,0.4,2.62,9.34
12.98,39.87,0.33,0.8,19.5,0.58,0.04,5.03,7.67,3.03,27.9,3.65,7.21,1.36,13.47,10.55
12.65,37.22,0.34,0.84,37.32,9.96,0.65,2.62,5.14,6.72,3.47,1.67,6.21,0.21,10.19,15.83
12.63,40.62,0.31,0.89,30.36,7.3,3.1,11.85,5.04,17.98,1.35,10.68,4.34,1.35,3.76,2.88
12.71,41.71,0.3,0.86,24.51,4.73,0.7,18.03,3.64,20.94,4.05,9.51,1.58,3.31,2.5,6.5
13.32,43.25,0.31,0.95,36.76,6.13,5.62,18.66,0.7,1.87,1.54,5.83,10.45,1.34,0.02,11.07
12.76,41.37,0.31,0.88,5.57,9.72,2.66,18.97,1.43,1.63,21.95,9.91,8.94,0.23,2.1,16.9
13.1,44.29,0.3,0.92,55.27,1.09,6.09,2.28,9.57,12.1,7.47,0.24,0.74,3.52,0.43,1.19
13.55,41.35,0.33,0.92,31.55,0.33,4.14,17.01,3.64,7.85,1.77,14.03,11.37,0.43,0.52,7.36
12.75,43.14,0.3,0.86,19.43,2.24,2.9,22.48,7.69,6.94,1.81,3.11,2.88,1.23,7.27,22.02
13.07,42.57,0.31,0.84,18.72,0.27,5.8,24.52,0.7,2.22,3.91,2.45,1.8,0.06,31.27,8.28
13.25,39.03,0.34,0.83,42.87,0.78,3.27,1.28,6.34,6.12,4.46,2.18,3.56,0.15,8.64,20.37
12.77,41.1,0.31,0.93,45.95,10.42,2.74,0.59,11.74,2.4,9.19,2.74,0.94,0.86,1.84,10.59
13.14,43.49,0.3,1.01,46.91,11.31,5.58,10.32,6.2,0.16,3.21,11.07,0.41,0.75,2.13,1.94
13.56,42.57,0.32,0.93,46.9,1.16,7.33,10.81,6.67,6.8,0.6,5.38,4.85,0.28,7.59,1.63
12.9,42.68,0.3,0.83,14.51,0.25,2.88,30.41,0.76,22.46,2.4,2.61,4.02,3.09,16.51,0.1
12.91,42.66,0.3,0.88,7.59,3.96,1.03,18.99,20.44,5.85,26.86,1.09,4.1,0.09,0.42,9.58
13.14,42.8,0.31,0.92,14.21,3.57,0.45,16.85,8.95,6.27,25.62,15.99,3.77,1.95,0.33,2.04
12.58,34.68,0.36,0.75,18.15,3.68,1.23,10.53,4.85,34.44,0.62,3.98,18.33,0.23,0.22,3.74
12.76,42.73,0.3,0.91,25.57,7.37,1.32,18.74,2.26,5.19,10.28,5.46,10.54,3.07,6.08,4.12
13.82,39.76,0.35,0.77,17.91,1.38,2.94,1.09,0.33,4.33,47.63,1.29,0.76,1.04,5.89,15.39
13.25,40.34,0.33,0.83,16.01,2.44,0.77,24.34,4.5,4.85,5.06,2.28,8.02,0.3,9.14,22.31
12.71,41.27,0.31,0.83,26.75,1.15,8.38,13.51,5.46,26.65,0.9,1.38,12.57,0.64,0.8,1.81
13.5,44.97,0.3,0.91,5.75,8.05,3.8,38.15,3.72,11.24,19.55,0.01,0.51,1.82,0.8,6.58
12.93,41.66,0.31,0.91,39.57,10.74,2.04,6.35,4.09,3.33,15.28,2.06,4.01,2.41,3.71,6.4
12.79,41.96,0.3,0.81,22.96,0.33,1.58,0.23,7.77,2.72,35.84,2.61,3.57,2.71,14.07,5.6
13.0,41.17,0.32,0.83,0.59,1.19,4.05,24.53,4.21,7.09,22.23,0.6,22.28,0.17,7.84,5.21
12.79,40.05,0.32,0.91,1.42,10.14,0.11,34.47,1.45,1.6,5.87,9.21,19.17,0.05,9.31,7.19
12.97,33.75,0.38,0.72,2.56,0.51,0.2,7.2,0.33,34.87,21.52,19.35,9.48,0.07,1.97,1.93
14.01,42.5,0.33,0.82,6.11,0.23,3.11,22.9,1.7,11.06,38.89,2.56,6.19,1.78,0.54,4.91
13.45,37.75,0.36,0.8,14.7,1.3,0.6,6.84,3.32,5.73,33.49,6.84,11.55,0.27,14.36,1.0
13.37,41.71,0.32,0.91,1.04,15.69,2.2,40.11,2.18,11.64,15.96,0.97,2.1,0.02,4.16,3.93
13.19,38.38,0.34,0.89,32.97,2.36,1.17,2.59,5.12,8.78,10.22,21.74,8.61,0.36,2.59,3.48
12.73,42.39,0.3,0.81,0.53,0.52,7.01,14.43,0.55,0.73,33.84,4.43,14.75,0.1,20.34,2.76
12.66,41.04,0.31,0.87,11.63,1.58,1.58,13.95,11.68,10.6,17.67,11.84,13.0,0.76,1.56,4.15
13.12,43.45,0.3,0.96,1.32,2.44,2.83,38.92,0.38,5.12,1.58,28.06,1.56,0.53,15.16,2.1
13.31,41.59,0.32,0.84,2.42,1.49,3.0,28.03,3.94,8.28,18.48,4.68,13.06,0.25,5.1,11.26
12.85,40.37,0.32,0.79,7.93,1.05,1.21,7.83,4.59,9.05,33.35,6.83,8.13,1.62,5.7,12.71
12.74,42.64,0.3,0.87,11.18,1.31,0.64,20.32,0.5,3.39,21.84,6.43,26.25,3.97,0.24,3.93
12.91,42.32,0.31,0.84,25.49,0.97,6.35,4.84,4.82,15.48,22.09,6.57,5.91,1.58,2.37,3.54
13.68,45.5,0.3,0.97,4.38,2.56,0.58,45.59,15.2,2.99,13.41,3.96,6.96,1.43,0.34,2.6
12.93,41.84,0.31,0.81,4.58,9.73,1.81,2.48,1.08,4.69,65.06,1.01,0.39,3.31,5.79,0.08
12.82,42.89,0.3,0.87,20.56,3.96,2.89,19.43,4.45,3.86,8.82,3.75,4.36,1.48,11.17,15.27
13.52,45.48,0.3,0.96,6.43,0.06,6.1,33.56,2.0,1.99,11.19,23.09,3.8,0.35,1.88,9.54
13.72,39.91,0.34,0.91,38.03,0.9,4.12,10.32,0.09,0.99,6.83,11.95,19.62,0.38,1.49,5.29
13.29,43.27,0.31,0.93,64.32,0.69,3.83,1.81,4.22,6.19,1.96,1.73,6.31,4.67,3.45,0.81
12.66,42.81,0.3,0.81,18.41,0.37,1.98,21.15,0.04,18.79,9.92,0.33,10.69,4.43,7.67,6.22
12.83,40.69,0.32,0.83,40.66,1.96,7.49,2.4,6.92,17.81,3.49,0.49,4.25,0.37,7.59,6.57
12.9,43.46,0.3,0.86,1.65,1.85,4.66,33.35,7.5,9.26,10.76,1.93,9.93,0.23,12.37,6.51
13.12,43.48,0.3,0.91,3.33,4.94,0.22,44.71,4.02,0.72,3.54,2.88,7.73,1.55,19.95,6.42
12.91,40.74,0.32,0.93,9.3,8.32,0.13,17.34,1.32,0.27,21.23,25.91,2.88,0.69,10.73,1.88
13.08,43.21,0.3,0.84,6.56,2.16,0.13,8.27,1.9,2.42,54.52,8.48,5.39,4.48,5.3,0.39
13.23,38.81,0.34,0.8,10.57,6.14,1.1,22.68,0.91,13.98,11.65,1.55,5.95,0.16,6.03,19.28
12.74,40.74,0.31,0.86,21.22,5.18,0.75,4.96,13.68,7.87,27.55,5.64,1.07,0.99,10.27,0.83
12.88,42.35,0.3,0.83,16.59,3.62,1.29,15.12,5.4,4.15,19.26,3.95,0.01,1.74,9.49,19.38
13.3,43.0,0.31,0.91,26.64,2.42,3.54,15.56,2.85,6.21,16.62,10.3,11.6,2.24,0.85,1.16
13.2,43.67,0.3,0.95,27.06,0.26,1.31,27.26,20.97,3.63,0.54,1.38,8.58,0.77,5.02,3.22
12.89,37.45,0.34,0.82,15.1,3.9,0.55,15.17,4.59,16.03,8.57,9.73,14.31,0.06,8.31,3.69
12.79,41.66,0.31,0.78,0.68,0.16,3.31,28.14,0.48,19.89,12.61,1.42,10.24,1.83,9.96,11.29
14.23,42.68,0.33,0.97,47.62,0.92,2.82,11.12,1.06,3.01,9.91,20.45,0.15,2.05,0.68,0.22
12.68,41.42,0.31,0.84,30.04,2.75,3.42,10.96,3.78,6.73,3.68,0.26,11.97,1.79,1.53,23.07
12.93,39.85,0.32,0.9,25.66,11.67,1.4,19.39,5.09,11.12,4.92,4.29,6.3,0.56,8.17,1.45
12.72,41.5,0.31,0.89,22.13,2.78,4.08,3.42,3.56,11.18,18.2,24.72,1.19,1.11,1.02,6.59
13.2,39.27,0.34,0.92,42.66,5.89,3.41,2.39,0.4,6.73,4.36,19.98,5.2,0.51,6.27,2.21
13.21,38.67,0.34,0.85,27.92,4.33,0.38,15.98,5.3,12.81,2.17,4.9,11.29,0.77,1.21,12.94
13.04,42.63,0.31,0.85,2.57,1.59,0.09,36.34,3.23,19.76,10.54,5.85,7.2,3.17,7.68,1.99
12.85,43.26,0.3,0.94,8.1,14.1,2.08,31.73,1.07,1.26,15.89,3.97,7.88,1.43,6.5,5.98
13.54,41.23,0.33,0.77,0.28,1.65,4.85,3.52,0.73,1.62,59.09,6.9,1.05,0.46,0.15,19.7
14.12,44.27,0.32,0.91,13.95,3.33,3.79,35.41,2.64,1.25,17.23,2.0,4.63,0.83,1.95,12.99
13.1,43.11,0.3,0.89,14.45,8.47,0.91,31.89,2.23,5.96,10.51,0.27,2.12,2.24,13.04,7.91
12.87,37.35,0.34,0.76,12.11,4.16,0.71,1.31,2.39,25.63,33.46,11.73,0.61,1.63,4.88,1.38
12.65,36.58,0.35,0.72,0.66,1.01,0.27,6.02,0.0,9.72,34.36,4.46,18.87,0.74,16.83,7.07
12.6,37.7,0.33,0.68,2.22,0.52,0.47,15.81,0.12,37.62,18.26,3.02,2.91,2.5,10.84,5.73
13.55,44.18,0.31,0.89,28.75,0.59,6.0,14.79,7.27,0.27,17.42,2.81,0.58,0.51,6.76,14.24
13.04,42.31,0.31,0.85,29.15,2.19,6.48,3.51,3.21,7.72,20.21,8.25,2.72,0.88,4.37,11.29
13.41,43.55,0.31,0.9,17.61,3.19,8.06,9.19,1.69,1.06,34.95,12.52,4.72,0.1,6.58,0.33
15.07,45.86,0.33,0.96,10.62,0.44,3.54,56.64,0.44,4.08,12.17,0.13,1.89,1.67,4.86,3.53
12.73,42.73,0.3,0.89,14.87,10.61,3.04,25.0,5.94,15.77,10.35,2.65,2.05,1.5,1.18,7.05
14.11,36.74,0.38,0.79,25.88,2.14,1.53,23.27,0.26,29.41,3.14,1.8,1.51,0.12,10.17,0.77
12.65,42.67,0.3,0.86,7.3,3.67,1.09,32.12,0.59,5.22,3.82,3.11,14.08,2.39,9.69,16.92
12.62,41.28,0.31,0.87,20.8,4.23,1.07,0.23,3.55,7.79,31.44,19.11,3.78,2.88,3.56,1.55
12.72,40.43,0.31,0.89,40.53,10.5,3.22,5.63,4.19,1.81,7.05,0.23,0.02,0.8,19.5,6.52
13.24,43.29,0.31,0.9,6.74,5.95,1.02,24.43,10.43,4.57,27.84,7.49,1.3,1.05,3.41,5.75
13.13,40.0,0.33,0.78,28.45,0.72,2.86,1.37,3.46,14.58,24.5,1.54,3.62,2.01,6.04,10.85
13.0,40.93,0.32,0.81,11.79,1.23,2.72,13.49,5.77,11.11,21.75,5.33,5.72,0.7,5.76,14.62
13.04,40.72,0.32,0.83,20.5,3.01,3.68,19.34,6.36,13.26,4.06,0.9,7.96,0.12,3.55,17.27
12.63,39.47,0.32,0.85,38.92,0.15,0.23,0.49,11.6,22.76,3.86,13.35,0.82,2.54,3.58,1.71
13.29,42.98,0.31,0.9,1.39,0.93,1.94,29.19,5.58,4.66,17.4,17.76,3.73,0.49,5.59,11.33
13.26,41.29,0.32,0.85,30.34,0.53,2.8,6.35,7.46,11.27,20.55,6.04,2.59,1.64,8.53,1.91
12.55,38.15,0.33,0.87,36.27,1.95,0.62,6.52,1.54,3.0,3.82,0.05,39.38,3.01,2.13,1.71
12.67,38.69,0.33,0.84,29.53,13.03,2.29,0.25,6.09,9.62,22.59,0.14,3.62,0.46,3.48,8.9
13.37,41.48,0.32,0.78,0.49,2.02,7.77,9.13,1.78,13.61,51.01,2.02,9.74,0.19,1.42,0.81
13.24,43.87,0.3,0.87,10.79,8.51,1.02,25.9,2.33,6.54,26.97,0.56,0.1,2.98,0.62,13.68
12.84,42.71,0.3,0.85,6.57,5.62,2.7,20.01,1.24,11.71,25.28,9.07,1.82,2.1,8.27,5.59
12.62,40.4,0.31,0.85,15.12,2.93,3.6,15.59,0.58,3.03,12.18,4.86,26.4,0.97,8.36,6.36
13.0,41.11,0.32,0.92,19.57,4.13,1.81,17.96,4.41,6.38,1.32,25.29,0.75,0.01,0.68,17.69
12.52,40.23,0.31,0.88,10.46,5.79,0.72,8.23,9.72,0.56,27.07,14.24,12.15,0.29,8.42,2.34
13.06,40.44,0.32,0.8,5.31,0.98,3.69,25.86,3.24,24.13,11.79,2.74,12.91,0.91,2.9,5.55
12.66,40.7,0.31,0.87,13.25,1.2,0.91,13.99,12.21,10.69,10.18,18.06,3.32,0.09,5.67,10.43
13.72,42.17,0.33,0.84,14.12,2.71,6.3,26.55,0.83,25.55,15.42,4.39,0.5,0.83,0.49,2.32
12.76,41.84,0.3,0.92,25.4,13.41,4.71,3.5,0.01,1.72,30.76,10.36,3.73,1.29,4.88,0.24
12.98,40.56,0.32,0.89,22.12,2.05,2.03,15.59,0.69,5.24,10.51,10.13,24.38,1.92,0.99,4.34
13.4,44.03,0.3,0.88,2.28,4.19,2.5,32.15,7.95,0.95,22.48,0.28,4.43,0.58,1.14,21.06
14.03,47.06,0.3,0.96,8.85,1.39,5.58,53.0,4.7,0.48,0.85,0.52,2.53,0.97,2.63,18.51
14.3,34.89,0.41,0.82,43.84,1.22,0.1,3.9,2.11,17.17,12.87,4.0,11.61,0.42,2.34,0.41
13.33,43.21,0.31,0.92,0.61,3.42,2.3,44.02,3.37,20.2,3.05,14.64,5.71,1.62,0.87,0.18
12.75,35.84,0.36,0.78,30.47,8.69,1.18,1.42,2.46,18.29,8.49,3.6,4.3,0.09,8.12,12.9
12.8,39.61,0.32,0.85,42.19,8.93,2.96,1.91,0.79,6.63,6.2,2.71,0.38,1.38,9.95,15.98
13.35,42.22,0.32,0.9,26.41,5.45,4.87,22.15,7.2,10.09,7.21,0.62,7.66,0.28,5.43,2.64
